Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;4;4;1;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;8;8;0,5;0,5
std-NetwerkPartitie;4;4;1;1
Opstarten;14;14;4;4
Connect;24;24;1;1
Disconnect;8;8;1;1
Berichten;8;8;1;1
BerichtNaVerandering;12;12;0,5;0,5
NetwerkPartitie;4;4;1;1
BovenLimiet;1;1;1;1
Totaal;-;-;18;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
Verbinding van 0 naar 3 verbroken.
WAARSCHUWING: de afstandupdates ('Afstand naar ... is nu ... via ...') worden mogelijk niet goed weergegeven!
Correct: na verandering klopt het netwerk weer.
Correct: Berichtcheck - van 55505 naar 55500
Verbinding van 2 naar 1 verbroken.
WAARSCHUWING: de afstandupdates ('Afstand naar ... is nu ... via ...') worden mogelijk niet goed weergegeven!
Correct: na verandering klopt het netwerk weer.
Correct: Berichtcheck - van 55502 naar 55501

Log
55500 > D 55503
55500 < Afstand naar 55503 is nu 2 via 55502
55503 < Afstand naar 55500 is nu 2 via 55502
55503 < Verbroken: 55500
55500 < Verbroken: 55503
55501 < Afstand naar 55503 is nu 2 via 55502
55505 < Afstand naar 55500 is nu 2 via 55501
55500 > R
55501 > R
55502 > R
55500 < 55500 0 local
55503 > R
55501 < 55501 0 local
55502 < 55502 0 local
55504 > R
55503 < 55503 0 local
55500 < 55501 1 55501
55505 > R
55504 < 55504 0 local
